month,price_per_oz
1989-11,394.26
1989-12,409.39
1990-01,410.11
1990-02,416.81
1990-03,393.06
1990-04,374.24
1990-05,369.05
1990-06,352.33
1990-07,362.53
1990-08,394.73
1990-09,389.32
1990-10,380.74
1990-11,381.73
1990-12,376.95
1991-01,383.64
1991-02,363.83
1991-03,363.34
1991-04,358.38
1991-05,356.95
1991-06,366.72
1991-07,367.69
1991-08,356.31
1991-09,348.74
1991-10,358.69
1991-11,360.17
1991-12,361.73
1992-01,354.45
1992-02,353.91
1992-03,344.34
1992-04,338.62
1992-05,337.24
1992-06,340.81
1992-07,352.72
1992-08,343.06
1992-09,345.43
1992-10,344.38
1992-11,335.02
1992-12,334.82
1993-01,329.01
1993-02,329.31
1993-03,330.08
1993-04,342.15
1993-05,367.18
1993-06,371.89
1993-07,392.19
1993-08,378.84
1993-09,355.28
1993-10,364.18
1993-11,373.83
1993-12,383.30
1994-01,386.88
1994-02,381.91
1994-03,384.13
1994-04,377.27
1994-05,381.43
1994-06,385.64
1994-07,385.49
1994-08,380.36
1994-09,391.58
1994-10,389.77
1994-11,384.39
1994-12,379.29
1995-01,378.55
1995-02,376.64
1995-03,382.12
1995-04,391.03
1995-05,385.22
1995-06,387.56
1995-07,386.23
1995-08,383.67
1995-09,383.06
1995-10,383.14
1995-11,385.31
1995-12,387.44
1996-01,399.45
1996-02,404.76
1996-03,396.21
1996-04,392.85
1996-05,391.93
1996-06,385.27
1996-07,383.47
1996-08,387.35
1996-09,383.14
1996-10,381.07
1996-11,377.85
1996-12,369.00
1997-01,355.11
1997-02,346.58
1997-03,351.81
1997-04,344.47
1997-05,343.84
1997-06,340.76
1997-07,324.10
1997-08,324.01
1997-09,322.82
1997-10,324.87
1997-11,306.04
1997-12,288.74
1998-01,289.10
1998-02,297.49
1998-03,295.94
1998-04,308.29
1998-05,299.10
1998-06,292.32
1998-07,292.87
1998-08,284.11
1998-09,288.98
1998-10,295.93
1998-11,294.12
1998-12,291.68
1999-01,287.08
1999-02,287.33
1999-03,285.96
1999-04,282.62
1999-05,276.44
1999-06,261.31
1999-07,256.08
1999-08,256.69
1999-09,264.74
1999-10,310.72
1999-11,293.18
1999-12,283.07
2000-01,284.32
2000-02,299.86
2000-03,286.39
2000-04,279.69
2000-05,275.19
2000-06,285.73
2000-07,281.59
2000-08,274.47
2000-09,273.68
2000-10,270.00
2000-11,266.01
2000-12,271.45
2001-01,265.49
2001-02,261.87
2001-03,263.03
2001-04,260.48
2001-05,272.36
2001-06,270.23
2001-07,267.53
2001-08,272.39
2001-09,283.42
2001-10,283.06
2001-11,276.16
2001-12,275.85
2002-01,281.51
2002-02,295.50
2002-03,294.06
2002-04,302.68
2002-05,314.49
2002-06,321.18
2002-07,313.29
2002-08,310.26
2002-09,319.14
2002-10,316.56
2002-11,319.07
2002-12,331.92
2003-01,356.86
2003-02,358.97
2003-03,340.55
2003-04,328.18
2003-05,355.68
2003-06,356.35
2003-07,351.02
2003-08,359.77
2003-09,378.94
2003-10,378.92
2003-11,389.91
2003-12,406.95
2004-01,413.79
2004-02,404.88
2004-03,406.67
2004-04,403.26
2004-05,383.78
2004-06,392.37
2004-07,398.09
2004-08,400.51
2004-09,405.27
2004-10,420.46
2004-11,439.38
2004-12,442.08
2005-01,424.03
2005-02,423.35
2005-03,433.85
2005-04,429.23
2005-05,421.87
2005-06,430.66
2005-07,424.48
2005-08,437.93
2005-09,456.05
2005-10,469.90
2005-11,476.67
2005-12,510.10
2006-01,549.86
2006-02,555.00
2006-03,557.09
2006-04,610.65
2006-05,675.39
2006-06,596.14
2006-07,633.71
2006-08,632.59
2006-09,598.19
2006-10,585.78
2006-11,627.83
2006-12,629.79
2007-01,631.17
2007-02,664.75
2007-03,654.89
2007-04,679.37
2007-05,667.31
2007-06,655.66
2007-07,665.38
2007-08,665.41
2007-09,712.65
2007-10,754.60
2007-11,806.25
2007-12,803.20
2008-01,889.60
2008-02,922.30
2008-03,968.43
2008-04,909.71
2008-05,888.66
2008-06,889.49
2008-07,939.77
2008-08,839.02
2008-09,829.93
2008-10,806.62
2008-11,760.86
2008-12,816.09
2009-01,858.69
2009-02,943.00
2009-03,924.27
2009-04,890.20
2009-05,928.64
2009-06,945.67
2009-07,934.23
2009-08,949.38
2009-09,996.59
2009-10,1043.16
2009-11,1127.04
2009-12,1134.72
2010-01,1117.96
2010-02,1095.41
2010-03,1113.34
2010-04,1148.69
2010-05,1205.43
2010-06,1232.92
2010-07,1192.97
2010-08,1215.81
2010-09,1270.98
2010-10,1342.02
2010-11,1369.89
2010-12,1390.55
2011-01,1360.46
2011-02,1374.68
2011-03,1423.26
2011-04,1480.89
2011-05,1512.58
2011-06,1529.36
2011-07,1572.75
2011-08,1759.01
2011-09,1772.14
2011-10,1666.43
2011-11,1739.00
2011-12,1639.97
2012-01,1654.05
2012-02,1744.82
2012-03,1675.95
2012-04,1649.20
2012-05,1589.04
2012-06,1598.76
2012-07,1594.29
2012-08,1630.31
2012-09,1744.81
2012-10,1746.58
2012-11,1721.64
2012-12,1684.76
2013-01,1671.85
2013-02,1627.57
2013-03,1593.09
2013-04,1487.86
2013-05,1414.03
2013-06,1343.35
2013-07,1285.52
2013-08,1351.74
2013-09,1348.60
2013-10,1316.58
2013-11,1275.86
2013-12,1221.51
2014-01,1244.27
2014-02,1299.58
2014-03,1336.08
2014-04,1298.45
2014-05,1288.74
2014-06,1279.10
2014-07,1310.59
2014-08,1295.13
2014-09,1236.55
2014-10,1222.49
2014-11,1175.33
2014-12,1200.62
2015-01,1250.75
2015-02,1227.08
2015-03,1178.63
2015-04,1198.93
2015-05,1198.63
2015-06,1181.50
2015-07,1128.31
2015-08,1117.93
2015-09,1124.77
2015-10,1159.25
2015-11,1086.44
2015-12,1075.74
2016-01,1097.91
2016-02,1199.50
2016-03,1245.14
2016-04,1242.26
2016-05,1260.95
2016-06,1276.40
2016-07,1336.66
2016-08,1340.17
2016-09,1326.61
2016-10,1266.55
2016-11,1238.35
2016-12,1157.36
2017-01,1192.10
2017-02,1234.20
2017-03,1231.42
2017-04,1266.88
2017-05,1246.04
2017-06,1260.26
2017-07,1236.84
2017-08,1283.04
2017-09,1314.07
2017-10,1279.51
2017-11,1281.90
2017-12,1264.45
2018-01,1331.30
2018-02,1330.73
2018-03,1324.66
2018-04,1334.76
2018-05,1303.45
2018-06,1281.57
2018-07,1237.71
2018-08,1201.71
2018-09,1198.39
2018-10,1215.39
2018-11,1220.65
2018-12,1250.40
2019-01,1291.75
2019-02,1320.07
2019-03,1300.90
2019-04,1285.91
2019-05,1283.70
2019-06,1359.04
2019-07,1412.89
2019-08,1500.41
2019-09,1510.58
2019-10,1494.81
2019-11,1470.79
2019-12,1479.13
2020-01,1560.67
2020-02,1597.10
2020-03,1591.93
2020-04,1683.17
2020-05,1715.91
2020-06,1732.22
2020-07,1846.51
2020-08,1968.63
2020-09,1921.92
2020-10,1900.27
2020-11,1866.30
2020-12,1858.42
2021-01,1866.98
2021-02,1808.17
2021-03,1718.23
2021-04,1760.04
2021-05,1850.26
2021-06,1834.57
2021-07,1807.84
2021-08,1785.28
2021-09,1775.14
2021-10,1776.85
2021-11,1821.76
2021-12,1790.43
2022-01,1816.02
2022-02,1856.30
2022-03,1947.83
2022-04,1936.86
2022-05,1848.50
2022-06,1836.57
2022-07,1732.74
2022-08,1764.56
2022-09,1680.78
2022-10,1664.45
2022-11,1725.07
2022-12,1797.55
2023-01,1897.71
2023-02,1854.54
2023-03,1912.73
2023-04,1999.77
2023-05,1992.13
2023-06,1942.90
2023-07,1951.02
2023-08,1918.70
2023-09,1915.95
2023-10,1916.25
2023-11,1984.11
2023-12,2026.18
2024-01,2034.04
2024-02,2023.24
2024-03,2158.01
2024-04,2331.45
2024-05,2351.13
2024-06,2326.44
2024-07,2398.20
2024-08,2470.15
2024-09,2570.55
2024-10,2690.08
2024-11,2651.13
2024-12,2648.01
